joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6,joint_vel_7,joint_vel_8,joint_vel_9,joint_vel_10,joint_vel_11,joint_vel_12,joint_vel_13,joint_vel_14,joint_vel_15,joint_vel_16,joint_vel_17,joint_vel_18,joint_vel_19,joint_vel_20,joint_vel_21,joint_vel_22,joint_vel_23,joint_vel_24,joint_vel_25,joint_vel_26,joint_vel_27,joint_vel_28
-1.531419,1.287463,0.457625,0.352606,0.434596,0.120595,-0.630381,0.350726,-0.008368,-0.679937,-0.044682,0.000571,-0.000099,0.081007,-0.306554,-0.000002,0.000002,0.309622,0.362366,0.006876,0.001217,-0.000065,0.000075,0.000003,0.000006,0.000002,-0.000003,-0.000003,-0.000030
-1.137815,1.111355,0.286914,0.564572,0.345600,0.142943,-0.382343,0.207247,-0.005238,-2.109963,0.019268,0.000564,-0.000054,0.279222,-0.379263,-0.000003,-0.000002,0.299806,0.542551,0.002574,0.002271,-0.000053,0.000072,0.000004,0.000003,0.000003,-0.000002,-0.000013,-0.000012
-1.094948,0.911111,0.209708,0.536851,0.241024,0.135054,0.043956,0.154180,0.059252,-2.948866,0.098448,0.000528,-0.000068,0.423141,-0.605251,-0.000003,-0.000002,0.191542,0.671839,0.002480,0.010800,-0.000039,0.000062,0.000003,-0.000002,0.000002,-0.000002,-0.000017,0.000000
-1.049613,0.785843,0.146826,0.515291,0.148069,0.134650,0.454569,0.152690,0.095785,-3.439970,0.141150,0.000420,-0.000048,0.569647,-0.807262,0.000000,0.000000,0.177330,0.756013,0.002481,0.015455,-0.000019,0.000049,0.000004,-0.000004,0.000002,0.000002,-0.000026,0.000014
-0.938899,0.784008,0.129614,0.474387,0.084424,0.109927,0.634830,0.282605,0.132945,-3.524489,0.113172,0.000288,0.000112,0.752546,-1.040288,0.000002,0.000002,0.212327,0.602085,0.008382,0.012450,-0.000027,-0.000006,0.000003,-0.000004,0.000002,0.000002,-0.000030,0.000024
-0.840579,0.792244,0.102863,0.418722,0.045318,0.032231,0.767907,0.507731,0.131233,-3.107747,0.029749,0.000162,0.000212,0.942576,-1.203534,0.000002,0.000003,0.119982,0.291113,0.010367,0.008751,-0.000049,-0.000044,0.000000,-0.000002,0.000000,0.000000,-0.000021,0.000027
-0.747691,0.805080,0.090973,0.322416,0.011170,-0.038344,0.903449,0.604123,0.082706,-2.317466,-0.090065,0.000022,0.000120,1.148529,-1.182496,0.000003,0.000003,-0.009399,-0.109564,0.001981,0.011275,-0.000055,-0.000030,-0.000002,0.000002,0.000000,0.000000,-0.000010,0.000018
-0.624702,0.780655,0.103463,0.208039,-0.046555,-0.080944,0.906841,0.540224,0.032381,-1.748298,-0.188283,-0.000066,0.000052,1.269625,-1.106261,0.000002,0.000003,-0.088411,-0.366871,-0.001416,0.007684,-0.000036,-0.000012,-0.000004,0.000003,0.000000,0.000002,0.000001,0.000001
-0.435024,0.625164,0.090493,0.135569,-0.150805,-0.084599,0.777841,0.323110,-0.020501,-1.407823,-0.224104,-0.000120,0.000075,1.378610,-0.810140,0.000000,0.000004,-0.114610,-0.166130,-0.002856,0.000632,0.000000,-0.000002,-0.000006,0.000004,-0.000002,0.000002,0.000010,-0.000012
-0.266990,0.448158,0.097150,0.037888,-0.226249,-0.042486,0.612633,0.029558,-0.085605,-0.901333,-0.189677,-0.000165,0.000093,1.477377,-0.137988,-0.000002,0.000006,-0.057800,0.285216,-0.007301,0.000099,0.000025,0.000005,-0.000004,0.000004,-0.000002,0.000000,0.000015,-0.000021
-0.127076,0.327904,0.081666,-0.014696,-0.210334,-0.000361,0.445055,-0.110082,-0.158674,-0.421008,-0.114054,-0.000206,0.000040,1.349325,0.369544,-0.000003,0.000005,0.033641,0.519992,-0.013109,0.001239,0.000043,0.000024,-0.000003,0.000002,0.000000,0.000000,0.000014,-0.000028
0.026958,0.270294,0.018392,-0.088477,-0.193759,0.024548,0.305902,-0.168846,-0.226289,-0.119275,-0.008787,-0.000303,0.000018,0.968712,0.594323,-0.000002,0.000003,0.146049,0.581080,-0.020373,0.004013,0.000075,0.000045,-0.000002,-0.000002,0.000000,0.000002,0.000001,-0.000030
0.178092,0.184451,-0.012893,-0.188032,-0.225996,0.002200,0.105311,-0.225223,-0.225814,0.081914,0.186873,-0.000360,0.000108,0.544859,0.601279,-0.000002,0.000003,0.250232,0.511288,-0.015802,-0.001396,0.000078,0.000019,0.000000,-0.000003,0.000000,0.000002,-0.000004,-0.000024
0.224357,0.057526,-0.039951,-0.253549,-0.262212,-0.051599,-0.027212,-0.172511,-0.182308,0.257186,0.330313,-0.000365,0.000193,0.171510,0.430807,-0.000003,0.000003,0.291983,0.285122,-0.009945,-0.010248,0.000054,-0.000021,-0.000002,-0.000002,0.000002,0.000002,0.000000,-0.000018
0.176391,-0.023299,-0.059235,-0.331203,-0.315553,-0.083837,0.033611,-0.047765,-0.144727,0.357021,0.456771,-0.000378,0.000162,-0.107315,0.150570,-0.000003,0.000002,0.222849,0.021259,-0.012111,-0.011774,0.000048,-0.000019,-0.000002,-0.000003,0.000002,0.000002,-0.000003,-0.000012
0.107331,-0.153550,-0.081707,-0.478084,-0.392302,-0.114284,0.176052,0.121682,-0.040596,0.415587,0.671649,-0.000320,0.000081,-0.316804,-0.298862,-0.000003,-0.000002,0.134967,-0.267758,-0.009051,-0.019824,0.000042,-0.000019,0.000000,-0.000004,-0.000002,0.000000,-0.000009,-0.000004
0.168998,-0.287662,-0.131823,-0.577012,-0.417595,-0.134598,0.269468,0.200428,0.063788,0.446622,0.987125,-0.000202,-0.000003,-0.501227,-0.389856,-0.000002,-0.000003,0.099955,-0.290939,-0.003595,-0.031656,0.000018,-0.000039,0.000002,-0.000003,-0.000003,0.000000,-0.000010,0.000003
0.380075,-0.418370,-0.199241,-0.559448,-0.331810,-0.131663,0.207384,0.161374,0.102492,0.366798,1.460866,-0.000130,-0.000098,-0.716154,-0.183219,-0.000002,-0.000006,0.072509,-0.191087,-0.001771,-0.038783,-0.000006,-0.000041,0.000003,-0.000003,-0.000002,0.000000,-0.000012,0.000009
0.619444,-0.677084,-0.268168,-0.472245,-0.178358,-0.097079,0.041883,0.074013,0.126265,0.213362,2.053558,-0.000129,-0.000144,-0.977309,-0.085973,-0.000002,-0.000006,0.040914,-0.133239,-0.001350,-0.040608,-0.000008,-0.000030,0.000004,-0.000003,0.000000,-0.000002,-0.000008,0.000006
0.792113,-1.039009,-0.335958,-0.426413,-0.012604,-0.035319,-0.065024,-0.116339,0.155617,0.003115,2.625298,-0.000218,-0.000018,-1.040766,0.264840,0.000000,-0.000003,0.004899,0.158099,-0.001709,-0.034284,0.000028,-0.000039,0.000004,-0.000004,-0.000002,-0.000002,0.000001,0.000003
0.857305,-1.375897,-0.416169,-0.407612,0.115844,-0.004540,-0.063333,-0.283085,0.182158,-0.146502,2.769120,-0.000329,0.000196,-0.883757,0.604735,0.000000,0.000000,0.004312,0.344793,-0.003673,-0.027387,0.000055,-0.000072,0.000003,-0.000006,-0.000003,-0.000002,0.000009,0.000004
0.852081,-1.543332,-0.470752,-0.365316,0.184666,0.027760,0.023558,-0.437994,0.171491,-0.229381,2.280457,-0.000393,0.000437,-0.669314,0.709924,0.000000,0.000003,0.013555,0.356781,-0.010538,-0.018816,0.000062,-0.000105,0.000000,-0.000005,-0.000003,-0.000002,0.000014,0.000001
0.803202,-1.549156,-0.459225,-0.369381,0.173354,0.078301,0.141399,-0.584523,0.108669,-0.319258,1.464137,-0.000348,0.000579,-0.458027,0.643128,0.000000,0.000005,-0.048871,0.331277,-0.020831,-0.006202,0.000071,-0.000096,-0.000003,-0.000002,-0.000003,-0.000002,0.000010,-0.000003
0.755341,-1.522115,-0.448416,-0.377815,0.072001,0.111051,0.142282,-0.695910,0.047085,-0.338287,0.344376,-0.000282,0.000586,-0.263468,0.530224,0.000000,0.000006,-0.132298,0.123652,-0.028914,-0.002235,0.000078,-0.000060,-0.000003,-0.000001,-0.000005,-0.000002,0.000001,-0.000003
0.799524,-1.379925,-0.445044,-0.300758,-0.060264,0.119253,0.002341,-0.869327,-0.022869,-0.335445,-0.901022,-0.000280,0.000582,-0.045509,0.806487,-0.000003,0.000003,-0.176328,-0.085456,-0.033682,-0.003701,0.000075,-0.000045,-0.000003,0.000000,-0.000005,0.000002,-0.000003,0.000005
0.961036,-1.160753,-0.401947,-0.153859,-0.184118,0.092556,-0.161336,-1.043646,-0.101568,-0.346053,-1.752441,-0.000229,0.000537,0.168289,1.213563,-0.000006,0.000000,-0.295829,-0.240120,-0.035644,-0.003549,0.000060,-0.000032,-0.000003,0.000004,-0.000002,0.000003,-0.000006,0.000017
